id,name,brewery_type,street,city,state,postal_code,country,longitude,latitude,phone,website_url,updated_at
15,Irish Mafia Brewing Co,brewpub,2971 Whalen Rd,Bloomfield,New York,14469-9786,United States,-77.38938696,42.89268134,5852715172,http://www.irishmafiabrewing.com,2018-08-24T15:39:24.759Z
16,Lafayette Brewing Co,brewpub,391 Washington St,Buffalo,New York,14203-2108,United States,-78.8734526,42.8847967,7168560062,http://www.panamericangrill.com,2018-08-24T15:39:32.439Z
17,Lost Kingdom Brewery / Firehouse Distillery,micro,7160 Main St,Ovid,New York,14521-9401,United States,-76.82281329,42.67724221,6074034020,http://www.firehousedistillery.net,2018-08-24T15:39:40.111Z
18,Peacemaker Brewing Company,micro,20 Pleasant St,Canandaigua,New York,14424-2047,United States,-77.27866055,42.88851165,5853963561,http://www.peacemakerbrewing.com,2018-08-24T15:39:52.762Z
19,Pressure Drop Brewing,micro,65 Vandalia St,Buffalo,New York,14204-2739,United States,-78.86103739,42.86640421,7168489942,http://www.barrelfactory.com,2018-08-24T15:39:56.430Z
20,Rohrbach's Railroad St Brewery,micro,97 Railroad St,Rochester,New York,14609-6039,United States,-77.586694,43.163275,5855468020,http://www.rohrbachs.com,2018-08-24T15:40:06.518Z
21,Birravino,brewpub,83 Riverside Ave,Red Bank,New Jersey,07701-1015,United States,-74.07536238,40.35352565,7328425990,http://www.birravino.com,2018-08-24T15:36:31.454Z
22,Bucket Brigade Brewery,micro,205 N Main St,Cape May Court House,New Jersey,08210-2121,United States,-74.81946353,39.086856,6097782641,http://www.bucketbrigadebrewery.com,2018-08-24T15:36:35.302Z
23,Eight and Sand Beer Co,micro,1003 N Evergreen Ave,Woodbury,New Jersey,08096-,United States,-75.14222034,39.84934725,8565371339,http://www.eightandsandbeer.com,2018-08-24T15:36:45.871Z
24,Harvest Moon Brewery/Cafe,brewpub,392 George St,New Brunswick,New Jersey,08901-2018,United States,-74.4442058,40.4962516,7322496666,http://www.harvestmoonbrewery.com,2018-08-24T15:36:49.887Z
25,Lower Forge Brewery,micro,14 S Main St,Medford,New Jersey,08055-2414,United States,-74.82362556,39.89909629,6099759532,http://www.lowerforge.com,2018-08-24T15:36:58.210Z
26,Third State Brewing,micro,352 High St,Burlington,New Jersey,08016-4412,United States,-74.85841925,40.07803141,6093871620,http://www.thirdstatebrewing.com,2018-08-24T15:37:07.658Z
27,Three 3's Brewery,micro,50 13th St,Hammonton,New Jersey,08037-1559,United States,-74.81147261,39.6385625,7328141396,http://www.three3sbrewing.com,2018-08-24T15:37:08.107Z
28,Trap Rock Restaurant And Brewery,brewpub,279 Springfield Ave,Berkeley Heights,New Jersey,07922-1214,United States,-74.43481217,40.6890382,9086651755,http://www.traprockrestaurant.net,2018-08-24T15:37:09.472Z
29,Descendants Brewing Company,brewpub,61 Bridge St,Milford,New Jersey,08848-1264,United States,-75.095372,40.568461,,,2018-08-24T15:36:43.487Z
30,7 Mile Brewery,micro,3156 Route 9 South Ste 1-2,Rio Grande,New Jersey,08242-,United States,,,6093657777,http://www.7milebrew.com,2018-08-11T21:38:21.596Z
31,Angry Erik Brewing,micro,10 Millpond Dr Unit 8,Lafayette,New Jersey,07848-3825,United States,,,8624329003,http://www.angryerik.com,2018-08-11T21:38:21.623Z
32,Anheuser-Busch Inc Newark,large,200 US Highway 1,Newark,New Jersey,07114-2298,United States,,,9736457700,http://www.anheuser-busch.com,2018-08-11T21:38:21.658Z
33,Artisan Owl Brewing Company,planning,,Ocean City,New Jersey,08226-4237,United States,,,2157402057,,2018-08-11T21:38:21.693Z
34,Axe And Arrow Brewery,planning,,Glassboro,New Jersey,08028-,United States,,,,,2018-08-11T21:38:21.865Z
35,Backman Brewing Company,planning,,Whitehouse Station,New Jersey,08889-3562,United States,,,,http://backmanbrewing.com,2018-08-11T21:38:21.906Z
36,Belford Brewing Company,micro,84 Leonardville Rd,Belford,New Jersey,07718-1144,United States,,,7327697168,http://www.belfordbrewing.com,2018-08-11T21:38:22.013Z
37,Artisan's Brewery and Italian Grill,brewpub,1171 Hooper Ave,Toms River,New Jersey,08753-8305,United States,-74.1880387,39.9625642,7322447566,http://www.artisanstomsriver.com,2018-08-24T15:36:27.901Z
38,Asbury Park Brewery,micro,810 Sewall Ave,Asbury Park,New Jersey,07712-6527,United States,-74.01229282,40.21956661,7324555571,http://www.asburyparkbrewery.com,2018-08-24T15:36:28.413Z
39,Atco Brewing LLC,micro,302 White Horse Pike,Atco,New Jersey,08004-2209,United States,-74.89973165,39.77167345,6097072628,http://Www.atcobrewingcompany.com,2018-08-24T15:36:28.989Z
40,Beach Haus Brewery,micro,801 Main St,Belmar,New Jersey,07719-2705,United States,-74.0251959,40.1812131,7322027782,http://Www.beachhausbeer.com,2018-08-24T15:36:29.975Z
